row,col,deg,state,res
2,7,135,0,1
1,12,21,0,-1
1,18,45,0,-1
2,0,38,0,-1
2,16,135,0,-1
1,5,135,0,-1
1,16,135,0,-1
1,9,45,0,-1
2,1,135,0,-1
1,14,135,0,-1
2,13,45,0,-1
1,0,45,0,-1
2,10,135,0,-1
2,10,30,0,-1
1,3,11,0,-1
2,4,168,0,-1
1,9,135,0,1
1,10,45,0,-1
2,16,21,0,-1
1,7,11,0,-1
1,14,168,0,-1
1,8,38,0,-1
1,3,141,0,-1
1,13,135,0,-1
2,2,45,0,-1
1,14,158,0,-1
1,8,21,0,-1
2,11,149,0,1
2,4,168,1,1
2,8,30,0,-1
1,1,38,0,-1
1,14,45,0,-1
2,4,149,0,-1
2,16,30,0,-1
1,1,11,0,-1
2,12,158,0,-1
2,2,21,0,-1
2,4,11,0,-1
1,10,168,0,-1
2,17,38,0,-1
2,0,135,0,-1
2,8,158,0,-1
1,2,149,0,-1
1,2,30,0,-1
2,9,30,0,-1
1,13,30,0,-1
2,5,158,0,-1
2,9,11,0,-1
1,18,30,0,-1
2,18,21,0,1
1,13,141,0,1
2,18,149,0,-1
1,8,135,0,1
2,-1,45,0,1
2,17,45,0,-1
2,4,30,0,-1
2,9,21,0,-1
1,10,45,1,-1
2,14,168,0,-1
1,3,45,0,-1
2,18,45,0,-1
1,5,45,0,-1
1,7,135,0,1
1,18,45,1,-1
1,3,38,0,-1
2,11,30,0,-1
2,10,11,0,-1
1,16,45,0,-1
1,5,45,1,-1
2,14,38,0,-1
1,4,135,0,-1
2,8,158,1,-1
2,0,135,1,-1
2,13,135,0,-1
1,8,11,0,-1
2,1,21,0,-1
2,1,168,0,1
1,6,141,0,-1
1,15,141,0,-1
2,9,30,1,-1
2,1,30,0,-1
2,9,45,0,-1
1,13,21,0,-1
2,18,45,1,-1
2,5,38,0,-1
1,18,168,0,-1
2,13,11,0,-1
1,6,149,0,-1
1,0,149,0,-1
1,5,30,0,-1
2,12,30,0,-1
2,6,135,0,1
1,17,38,0,-1
1,12,38,0,-1
2,8,38,0,-1
1,2,38,0,-1
2,2,141,0,-1
1,17,149,0,-1
2,4,141,0,-1
2,12,158,1,-1
2,1,30,1,-1
2,1,135,1,-1
1,14,141,0,-1
1,17,168,0,-1
2,0,21,0,-1
1,5,135,1,1
2,10,135,1,1
1,14,45,1,-1
1,5,168,0,1
1,7,11,1,-1
2,15,11,0,-1
1,9,149,0,-1
2,16,135,1,-1
2,8,11,0,-1
2,10,168,0,-1
2,8,11,1,-1
1,17,21,0,1
2,4,158,0,-1
1,3,135,0,-1
1,14,149,0,1
1,9,149,1,1
2,18,141,0,-1
2,14,11,0,-1
1,5,21,0,-1
2,2,158,0,-1
1,9,30,0,-1
1,3,38,1,-1
1,13,21,1,1
2,15,149,0,-1
1,12,141,0,1
1,10,45,2,-1
1,11,30,0,-1
1,3,135,1,-1
1,14,135,1,-1
2,4,38,0,-1
1,12,38,1,-1
2,8,38,1,-1
2,2,38,0,-1
2,14,21,0,-1
1,12,168,0,-1
1,1,11,1,-1
2,7,158,0,-1
2,5,30,0,-1
2,17,11,0,-1
1,12,21,1,1
1,6,11,0,-1
2,1,38,0,-1
1,5,141,0,-1
1,10,11,0,-1
1,8,158,0,-1
1,1,38,1,-1
2,12,141,0,-1
1,12,45,0,-1
2,9,38,0,-1
2,0,21,1,-1
1,6,158,0,-1
1,10,30,0,-1
1,16,30,0,-1
2,7,141,0,1
2,7,158,1,-1
2,11,30,1,-1
1,15,30,0,-1
2,5,158,1,-1
1,0,45,1,-1
1,15,158,0,-1
2,3,11,0,-1
1,13,135,1,-1
1,1,158,0,-1
1,6,141,1,1
2,6,168,0,-1
2,4,11,1,1
2,5,149,0,-1
1,18,21,0,1
2,5,11,0,-1
2,18,158,0,1
2,5,168,0,-1
2,9,45,1,-1
2,2,135,0,-1
2,14,135,0,-1
2,12,45,0,-1
1,16,11,0,-1
2,0,168,0,1
2,12,11,0,-1
1,10,11,1,-1
1,13,45,0,-1
2,8,45,0,-1
2,14,21,1,1
2,15,135,0,-1
2,0,45,0,-1
1,16,141,0,-1
1,8,11,1,-1
1,9,38,0,-1
2,5,38,1,-1
1,0,141,0,-1
1,9,30,1,-1
1,1,135,0,-1
1,14,158,1,-1
2,8,45,1,-1
1,17,11,0,-1
2,14,168,1,-1
1,11,11,0,-1
2,9,21,1,-1
2,14,11,1,-1
2,14,11,2,-1
1,4,158,0,-1
2,7,141,0,-1
2,6,149,0,-1
2,13,135,1,-1
1,1,158,1,-1
2,8,30,1,-1
2,11,21,0,-1
1,14,45,2,-1
1,2,45,0,-1
2,18,45,2,-1
1,6,45,0,-1
1,12,149,0,1
2,2,168,0,1
1,8,45,0,-1
1,17,168,1,-1
1,10,11,2,-1
1,15,21,0,1
1,17,30,0,-1
2,7,149,0,-1
2,18,45,3,-1
1,1,21,0,-1
2,14,168,2,-1
2,15,141,0,-1
2,17,38,1,-1
2,12,38,0,-1
1,9,45,1,-1
2,15,30,0,-1
1,4,149,0,-1
2,11,45,0,-1
1,14,21,0,1
2,11,158,0,-1
2,10,21,0,-1
1,9,168,0,-1
2,17,11,1,-1
1,10,45,3,-1
2,0,135,2,1
1,14,135,2,1
1,11,45,0,-1
2,0,45,1,-1
2,11,135,0,-1
2,14,45,0,-1
1,10,11,3,-1
1,16,168,0,-1
2,6,38,0,-1
2,11,45,1,-1
2,9,21,2,-1
1,9,168,1,1
1,2,141,0,-1
1,18,38,0,-1
1,13,38,0,-1
1,8,38,1,-1
2,4,38,1,-1
2,1,141,0,-1
2,14,158,0,-1
1,10,21,0,-1
1,10,11,4,-1
1,8,38,2,-1
1,3,30,0,-1
1,8,30,0,-1
2,15,11,1,-1
1,7,11,2,-1
1,16,21,0,1
1,-1,21,0,1
1,4,21,0,-1
2,0,11,0,1
1,10,168,1,-1
2,5,158,2,-1
2,0,45,2,-1
2,15,135,1,-1
2,0,38,1,-1
1,17,30,1,-1
1,5,149,0,-1
2,15,168,0,-1
2,0,30,0,-1
2,0,141,0,-1
1,17,158,0,-1
2,9,168,0,-1
2,6,141,0,-1
2,2,135,1,-1
2,9,158,0,-1
2,8,21,0,-1
1,18,38,1,-1
2,1,141,1,-1
2,17,141,0,-1
2,0,30,1,-1
2,11,30,2,-1
2,11,38,0,-1
2,10,45,0,-1
2,5,141,0,-1
2,10,149,0,-1
1,9,51,0,-1
1,11,153,0,-1
1,18,14,0,-1
2,14,135,1,-1
2,11,36,0,-1
2,14,26,0,-1
1,8,153,0,-1
1,11,26,0,-1
2,8,128,0,1
1,4,128,0,-1
2,17,51,0,-1
2,0,128,0,-1
2,11,45,2,-1
1,10,36,0,-1
2,8,36,0,-1
2,5,36,0,-1
2,2,36,0,-1
2,7,153,0,-1
1,4,26,0,-1
2,4,143,0,-1
1,14,165,0,-1
2,17,14,0,-1
2,0,165,0,-1
1,15,165,0,-1
1,12,14,0,-1
1,7,165,0,-1
2,12,36,0,-1
1,0,45,2,-1
1,18,128,0,-1
1,2,51,0,-1
